_id,Institution Name,Institution Address,Outbreak Setting,Type of Outbreak,Causative Agent-1,Causative Agent-2,Date Outbreak Began,Date Declared Over,Year,month,Active Status,Duration
14,The Westbury - 8th Fl,495 The West Mall,Ltch,Respiratory,Coronavirus,Unknown,2016-12-29,2017-01-11,2016,2016-12,Resolved,13.0
15,Ina Grafton Gage Home,40 Bell Estate Rd,Ltch,Respiratory,Coronavirus,Unknown,2016-12-29,2017-01-09,2016,2016-12,Resolved,11.0
16,Midland Gardens Care Community,130 Midland Ave,Ltch,Respiratory,Respiratory syncytial virus,Unknown,2016-12-29,2017-01-19,2016,2016-12,Resolved,21.0
17,St. Joseph's Health Centre - 4E,30 The Queensway,Hospital-Acute Care,Respiratory,Respiratory syncytial virus,Unknown,2016-12-28,2017-01-04,2016,2016-12,Resolved,7.0
18,The Heritage Nursing Home,1195 Queen St E,Ltch,Respiratory,Influenza A (H3),Unknown,2016-12-28,2017-01-09,2016,2016-12,Resolved,12.0
19,The Wexford Residence,1860 Lawrence Ave E,Ltch,Respiratory,Influenza A (H3),Unknown,2016-12-28,2017-01-11,2016,2016-12,Resolved,14.0
20,Chartwell Gibson Retirement Residence,1955 Steeles Ave E,Retirement Home,Respiratory,Influenza A (H3),Unknown,2016-12-28,2017-01-13,2016,2016-12,Resolved,16.0
21,Delmanor Northtown,5351 Yonge St,Retirement Home,Respiratory,Respiratory syncytial virus,Unknown,2016-12-28,2017-01-23,2016,2016-12,Resolved,26.0
22,Better Living at Thompson House,1 Overland Dr,Ltch,Respiratory,Influenza A (H3N2),Coronavirus,2016-12-28,2017-01-10,2016,2016-12,Resolved,13.0
23,St. Joseph's Health Centre - 6M,30 The Queensway,Hospital-Acute Care,Respiratory,Influenza A (Not subtyped),Unknown,2016-12-27,2017-01-09,2016,2016-12,Resolved,13.0
24,Suomi-Koti Toronto Nursing Home - 7th Fl,795 Eglinton Ave E,Ltch,Respiratory,Influenza A (H3),Unknown,2016-12-27,2017-01-06,2016,2016-12,Resolved,10.0
25,Bendale Acres - Unit 3,2920 Lawrence Ave E,Ltch,Enteric,Unable to identify,Unknown,2016-12-26,2017-01-07,2016,2016-12,Resolved,12.0
26,St. Bernard's Residence,685 Finch Ave W,Retirement Home,Respiratory,Influenza A (Not subtyped),Unknown,2016-12-24,2017-01-10,2016,2016-12,Resolved,17.0
27,Westside,1145 Albion Rd,Ltch,Respiratory,Influenza A (H3),Respiratory syncytial virus/ C,2016-12-24,2017-01-19,2016,2016-12,Resolved,26.0
28,St. Michael's Hospital - 6 Bond,30 Bond St,Hospital-Acute Care,Respiratory,Influenza A (H3),Unknown,2016-12-23,2016-12-30,2016,2016-12,Resolved,7.0
29,McCall Centre For Continuing Care - 2nd & 4th Fl,140 Sherway Dr,Hospital-Chronic Care,Respiratory,Influenza A (H3),Unknown,2016-12-23,2017-01-07,2016,2016-12,Resolved,15.0
30,True Davidson Acres - 2nd  Fl,200 Dawes Rd,Ltch,Enteric,Unable to identify,Unknown,2016-12-23,2016-12-28,2016,2016-12,Resolved,5.0
31,Delmanor Prince Edward - 2nd Fl,4180 Dundas St W,Retirement Home,Respiratory,Influenza A (H3),Unknown,2016-12-23,2017-01-04,2016,2016-12,Resolved,12.0
32,Rose Of Sharon Korean Long Term Care Home,17 Maplewood Ave,Ltch,Respiratory,Metapneumovirus,Coronavirus,2016-12-22,2017-01-07,2016,2016-12,Resolved,16.0
33,North York General Hospital - 5 SE,4001 Leslie St,Hospital-Acute Care,Respiratory,Influenza A (Not subtyped),Unknown,2016-12-21,2016-12-29,2016,2016-12,Resolved,8.0
34,Forest Hill Place,645 Castlefield Ave,Retirement Home,Enteric,Unable to identify,Unknown,2016-12-21,2017-01-03,2016,2016-12,Resolved,13.0
35,Greenview Lodge,880 Lawrence Ave E,Retirement Home,Respiratory,Respiratory syncytial virus,Unknown,2016-12-21,2017-01-05,2016,2016-12,Resolved,15.0
36,West Park Healthcare Centre - 3WF,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,Respiratory syncytial virus,Unknown,2016-12-19,2016-12-23,2016,2016-12,Resolved,4.0
37,Centennial Park Place,25 Centennial Park Rd,Retirement Home,Respiratory,Influenza A (H3),Unknown,2016-12-19,2016-12-27,2016,2016-12,Resolved,8.0
38,Scarborough Retirement Residence,148 Markham Rd,Retirement Home,Enteric,Norovirus-like,Unknown,2016-12-19,2017-01-23,2016,2016-12,Resolved,35.0
39,Baycrest Centre For Geriatric Care - 3E,3560 Bathurst St,Hospital-Chronic Care,Respiratory,Respiratory syncytial virus,Unknown,2016-12-16,2016-12-26,2016,2016-12,Resolved,10.0
40,West Park Healthcare Centre - 3WD,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,Respiratory syncytial virus,Unknown,2016-12-16,2017-01-04,2016,2016-12,Resolved,19.0
41,Mon Sheong Scarborough Long Term Care Centre - 2nd Fl,2030 McNicoll Ave,Ltch,Respiratory,Influenza A (H3N2),Parainfluenza type 2 & type 4,2016-12-16,2017-01-15,2016,2016-12,Resolved,30.0
42,Cummer Lodge - 2 North,205 Cummer Ave,Ltch,Respiratory,Coronavirus,Unknown,2016-12-15,2016-12-24,2016,2016-12,Resolved,9.0
43,St. John's Rehabilitation Hospital - A4,285 Cummer Ave,Hospital-Chronic Care,Respiratory,Respiratory syncytial virus,Unknown,2016-12-14,2016-12-30,2016,2016-12,Resolved,16.0
44,Toronto General Hospital - 14ES,200 Elizabeth St,Hospital-Acute Care,Respiratory,Influenza A (H3),Unknown,2016-12-13,2016-12-23,2016,2016-12,Resolved,10.0
45,Extendicare Craiglee - 1st & 2nd Fl,102 Craiglee Dr,Ltch,Respiratory,Metapneumovirus,Unknown,2016-12-13,2016-12-24,2016,2016-12,Resolved,11.0
46,Kingsway Retirement Residence - 2nd Fl - Memory Care,4251 Dundas St W,Retirement Home,Respiratory,Rhinovirus,Respiratory syncytial virus,2016-12-11,2016-12-20,2016,2016-12,Resolved,9.0
47,Ina Grafton Gage Home - 2nd Fl,40 Bell Estate Rd,Ltch,Respiratory,Unable to identify,Unknown,2016-12-09,2016-12-19,2016,2016-12,Resolved,10.0
48,Christie Gardens,600 Melita Cres,Retirement Home,Respiratory,Influenza A (H3),Unknown,2016-12-08,2016-12-19,2016,2016-12,Resolved,11.0
49,Kensington Place Retirement Residence - 6th Fl,866 Sheppard Ave W,Retirement Home,Respiratory,Parainfluenza type 1,Rhinovirus/Respiratory syncytial virus,2016-12-07,2016-12-25,2016,2016-12,Resolved,18.0
50,Sienna Altamont Care Community,92 Island Rd,Ltch,Respiratory,Respiratory syncytial virus,Rhinovirus,2016-12-06,2016-12-22,2016,2016-12,Resolved,16.0
51,Castleview Wychwood Towers - 7C,351 Christie St,Ltch,Enteric,Unable to identify,Unknown,2016-12-04,2016-12-11,2016,2016-12,Resolved,7.0
52,Kensington Gardens - 3 West,45 Brunswick Ave,Ltch,Respiratory,Respiratory syncytial virus,Unknown,2016-12-02,2016-12-14,2016,2016-12,Resolved,12.0
53,Kipling Acres - 1 West,2233 Kipling Ave,Ltch,Enteric,Norovirus-like,Unknown,2016-12-02,2016-12-09,2016,2016-12,Resolved,7.0
54,West Park Healthcare Centre - Glenwyld & Raymore,82 Buttonwood Ave,Ltch,Respiratory,Respiratory syncytial virus,Unknown,2016-12-02,2016-12-16,2016,2016-12,Resolved,14.0
55,St. John's Rehabilitation Hospital - A1,285 Cummer Ave,Hospital-Chronic Care,Respiratory,Enterovirus/Rhinovirus,Unknown,2016-11-29,2016-12-16,2016,2016-11,Resolved,17.0
56,Eatonville Care Centre,420 The East Mall,Ltch,Respiratory,Influenza A (H3N2),Unknown,2016-11-29,2016-12-14,2016,2016-11,Resolved,15.0
57,The O'Neill Centre - 4th Fl,33 Christie St,Ltch,Respiratory,Respiratory syncytial virus,Unknown,2016-11-29,2016-12-19,2016,2016-11,Resolved,20.0
58,Baycrest Apotex Centre - 5EI,3560 Bathurst St,Ltch,Respiratory,Influenza A (H3),Unknown,2016-11-28,2016-12-08,2016,2016-11,Resolved,10.0
59,Sunnybrook Health Sciences Centre - LGSE,2075 Bayview Ave,Ltch,Respiratory,Enterovirus/Rhinovirus,Unknown,2016-11-28,2016-12-05,2016,2016-11,Resolved,7.0
60,Chartwell Gibson Retirement Residence,1955 Steeles Ave E,Retirement Home,Enteric,Unable to identify,Unknown,2016-11-27,2016-12-06,2016,2016-11,Resolved,9.0
61,North Park Nursing Home,450 Rustic Rd,Ltch,Respiratory,Rhinovirus,Respiratory syncytial virus,2016-11-26,2016-12-26,2016,2016-11,Resolved,30.0
62,Extendicare Craiglee,102 Craiglee Dr,Ltch,Respiratory,Rhinovirus,Unknown,2016-11-24,2016-12-11,2016,2016-11,Resolved,17.0
63,Humber Valley Terrace,95 Humber College Blvd,Ltch,Enteric,Norovirus-like,Unknown,2016-11-23,2016-12-12,2016,2016-11,Resolved,19.0
64,Chartwell Scarlett Height Retirement Residence -,"4005 Eglinton Ave W - 2nd, 7th, 8th & 9th Fl",Retirement Home,Respiratory,Rhinovirus,Unknown,2016-11-23,2016-12-05,2016,2016-11,Resolved,12.0
65,St. John's Rehabilitation Hospital - A3,285 Cummer Ave,Hospital-Chronic Care,Respiratory,Influenza A (H3N2),Unknown,2016-11-18,2016-11-25,2016,2016-11,Resolved,7.0
66,Ehatare Nursing Home,40 Old Kingston Rd,Ltch,Respiratory,Rhinovirus,Unknown,2016-11-18,2016-12-05,2016,2016-11,Resolved,17.0
67,Main Street Terrace,77 Main St,Ltch,Enteric,Unable to identify,Unknown,2016-11-18,2016-11-30,2016,2016-11,Resolved,12.0
68,Michael Garron Hospital - F3,825 Coxwell Ave,Hospital-Acute Care,Enteric,Norovirus-like,Unknown,2016-11-13,2016-11-22,2016,2016-11,Resolved,9.0
69,St. Joseph's Health Centre - 6G,30 The Queensway,Hospital-Acute Care,Respiratory,Respiratory syncytial virus,Unknown,2016-11-12,2016-12-04,2016,2016-11,Resolved,22.0
70,The Salvation Army Toronto Grace Health Centre - Unit 2,47 Austin Terr,Hospital-Chronic Care,Enteric,Clostridium difficile,Unknown,2016-11-09,2016-12-13,2016,2016-11,Resolved,34.0
71,St Clair O'Connor Nursing Home,2701 St Clair Ave E,Ltch,Enteric,Norovirus-like,Unknown,2016-11-09,2016-11-18,2016,2016-11,Resolved,9.0
72,Centre for Addiction and Mental Health - Queen Site -,1001 Queen St W - Unit 2-2,Hospital-Psychiatric,Respiratory,Rhinovirus,Coronavirus,2016-11-08,2016-11-17,2016,2016-11,Resolved,9.0
73,Fudger House - 2E,439 Sherbourne St,Ltch,Enteric,Unable to identify,Unknown,2016-11-01,2016-11-06,2016,2016-11,Resolved,5.0
74,Gibson Long Term Care Centre - Unit 4,1925 Steeles Ave E,Ltch,Respiratory,Influenza A (H3),Unknown,2016-11-01,2016-11-15,2016,2016-11,Resolved,14.0
75,West Park Healthcare Centre - 2WF,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,Rhinovirus,Unknown,2016-10-26,2016-11-04,2016,2016-10,Resolved,9.0
76,Sunnybrook Health Sciences Centre - LSSW,2075 Bayview Ave,Ltch,Respiratory,Enterovirus/Rhinovirus,Unknown,2016-10-20,2016-10-28,2016,2016-10,Resolved,8.0
77,Gibson Retirement Residence,1955 Steeles Ave E,Retirement Home,Respiratory,Rhinovirus,Unknown,2016-10-20,2016-11-03,2016,2016-10,Resolved,14.0
78,The O'Neill Centre,33 Christie St,Ltch,Respiratory,Rhinovirus,Coronavirus,2016-10-17,2016-11-07,2016,2016-10,Resolved,21.0
79,Drs. Paul & John Rekai Centre - 2nd Fl,345 Sherbourne St,Ltch,Respiratory,Rhinovirus,Unknown,2016-10-16,2016-10-27,2016,2016-10,Resolved,11.0
80,Thompson House - 2nd & 3rd Fl,1 Overland Dr,Ltch,Respiratory,Rhinovirus,Unknown,2016-10-13,2016-11-03,2016,2016-10,Resolved,21.0
81,Canterbury Place Retirement Residence,1 Canterbury Pl,Retirement Home,Respiratory,Rhinovirus,Unknown,2016-10-12,2016-10-24,2016,2016-10,Resolved,12.0
82,Cedarhurst Home - 1st Fl,2601 Bayview Ave,Retirement Home,Respiratory,Rhinovirus,Unknown,2016-10-12,2016-10-21,2016,2016-10,Resolved,9.0
83,Bethseda Home - Belgreen,67 Belgreen Ave,Retirement Home,Respiratory,Rhinovirus,Unknown,2016-10-11,2016-10-18,2016,2016-10,Resolved,7.0
84,Gibson Long Term Care Centre - Unit 3,1925 Steeles Ave E,Ltch,Respiratory,Rhinovirus,Unknown,2016-10-08,2016-11-08,2016,2016-10,Resolved,31.0
85,Sunnybrook Health Sciences Centre - K2C,2075 Bayview Ave,Ltch,Respiratory,Enterovirus/Rhinovirus,Unknown,2016-10-07,2016-10-15,2016,2016-10,Resolved,8.0
86,Chartwell Lansing Retirement Residence,10 Senlac Rd,Retirement Home,Respiratory,Rhinovirus,Unknown,2016-10-04,2016-10-15,2016,2016-10,Resolved,11.0
87,Sunnybrook Health Sciences Centre - LSSW,2075 Bayview Ave,Ltch,Respiratory,Enterovirus/Rhinovirus,Unknown,2016-09-30,2016-10-15,2016,2016-09,Resolved,15.0
88,Fountain View Care Community - 2nd Fl (Lakeside & Breezeway),1800 O'Connor Dr,Ltch,Respiratory,Rhinovirus,Unknown,2016-09-29,2016-10-17,2016,2016-09,Resolved,18.0
89,St. John's Rehabilitation Hospital - A4,285 Cummer Ave,Hospital-Chronic Care,Respiratory,Coronavirus,Unknown,2016-09-26,2016-10-01,2016,2016-09,Resolved,5.0
90,Extendicare Scarborough,3830 Lawrence Ave E,Ltch,Respiratory,Rhinovirus,Unknown,2016-09-26,2016-10-07,2016,2016-09,Resolved,11.0
91,Mon Sheong Scarborough Long Term Care Centre - 4th Fl,2030 McNicoll Ave,Ltch,Respiratory,Rhinovirus,Unknown,2016-09-22,2016-10-03,2016,2016-09,Resolved,11.0
92,The Heritage Nursing Home - 1st & 3rd Fl,1195 Queen St E,Ltch,Respiratory,Rhinovirus,Respiratory syncytial virus,2016-09-22,2016-10-17,2016,2016-09,Resolved,25.0
93,Extendicare Bayview,550 Cummer Ave,Ltch,Respiratory,Rhinovirus,Unknown,2016-09-21,2016-10-02,2016,2016-09,Resolved,11.0
94,Cedarvale Terrace,429 Walmer Rd,Ltch,Respiratory,Unable to identify,Unknown,2016-09-19,2016-10-19,2016,2016-09,Resolved,30.0
95,Midland Gardens,130 Midland Ave,Ltch,Respiratory,Rhinovirus,Unknown,2016-09-19,2016-10-30,2016,2016-09,Resolved,41.0
96,Bendale Acres,2920 Lawrence Ave E,Ltch,Respiratory,Unable to identify,Unknown,2016-09-15,2016-09-29,2016,2016-09,Resolved,14.0
97,The Hospital For Sick Children - 5B,555 University Ave,Hospital-Acute Care,Respiratory,Enterovirus/Rhinovirus,Unknown,2016-09-14,2016-09-20,2016,2016-09,Resolved,6.0
98,Sunnybrook Health Sciences Centre - LTSW,2075 Bayview Ave,Ltch,Respiratory,Enterovirus/Rhinovirus,Unknown,2016-09-14,2016-09-23,2016,2016-09,Resolved,9.0
99,Sunnybrook Health Sciences Centre - LSSW,2075 Bayview Ave,Ltch,Respiratory,Enterovirus/Rhinovirus,Unknown,2016-09-13,2016-09-20,2016,2016-09,Resolved,7.0
100,Village of Humber Heights - Wadsworth,2245 Lawrence Ave W,Ltch,Respiratory,Rhinovirus,Unknown,2016-09-09,2016-09-20,2016,2016-09,Resolved,11.0
101,Cummer Lodge - 2 North,205 Cummer Ave,Ltch,Respiratory,Unable to identify,Unknown,2016-09-08,2016-09-25,2016,2016-09,Resolved,17.0
102,Castleview Wychwood Towers - 2  West,351 Christie St,Ltch,Respiratory,Rhinovirus,Unknown,2016-09-07,2016-09-15,2016,2016-09,Resolved,8.0
103,Eatonville Care Centre,420 East Mall,Ltch,Respiratory,Rhinovirus,Unknown,2016-08-29,2016-09-08,2016,2016-08,Resolved,10.0
104,Extendicare Rouge Valley - Highland Creek,551 Conlins Rd,Ltch,Respiratory,Rhinovirus,Unknown,2016-08-23,2016-09-03,2016,2016-08,Resolved,11.0
105,Atrium at Kew Beach,500 Kingston Rd,Retirement Home,Respiratory,Parainfluenza type 3,Unknown,2016-08-22,2016-09-09,2016,2016-08,Resolved,18.0
106,Hazelton Place Retirement Residence,111 Avenue Rd,Retirement Home,Enteric,Shigella flexneri (Group B),Unknown,2016-08-22,2016-08-31,2016,2016-08,Resolved,9.0
107,Yee Hong Centre for Geriatric Care - Finch Site - 2nd Fl,60 Scottfield Dr,Ltch,Respiratory,Metapneumovirus,Unknown,2016-08-19,2016-09-04,2016,2016-08,Resolved,16.0
108,McCall Centre for Continuing Care - 2nd Fl,140 Sherway Dr,Hospital-Chronic Care,Respiratory,Parainfluenza type 3,Unknown,2016-08-18,2016-08-26,2016,2016-08,Resolved,8.0
109,The Hospital for Sick Children - 8B,555 University Ave,Hospital-Acute Care,Respiratory,Parainfluenza type 3,Unknown,2016-08-15,2016-08-22,2016,2016-08,Resolved,7.0
110,"Hellenic Home - Ground, 2B & 3B",2411 Lawrence Ave E,Ltch,Respiratory,Rhinovirus,Unknown,2016-08-03,2016-08-19,2016,2016-08,Resolved,16.0
111,Thompson House - 2nd Fl,1 Overland Dr,Ltch,Respiratory,Rhinovirus,Unknown,2016-07-29,2016-08-08,2016,2016-07,Resolved,10.0
112,Deerwood Creek Care Community - 3A (Windsor Heights),70 Humberline Dr,Ltch,Respiratory,Rhinovirus,Unknown,2016-07-27,2016-08-12,2016,2016-07,Resolved,16.0
113,Gibson Long Term Care,1925 Steeles Ave E,Ltch,Respiratory,Parainfluenza type 3,Unknown,2016-07-27,2016-08-27,2016,2016-07,Resolved,31.0
114,The Westbury - 7th Fl,495 The West Mall,Ltch,Respiratory,Unable to identify,Unknown,2016-07-26,2016-07-31,2016,2016-07,Resolved,5.0
115,Cedarhurst Home,2601 Bayview Ave,Retirement Home,Respiratory,Rhinovirus,Unknown,2016-07-25,2016-08-05,2016,2016-07,Resolved,11.0
116,Craiglee Extendicare,102 Craiglee Dr,Ltch,Respiratory,Parainfluenza type 3,Unknown,2016-07-22,2016-08-17,2016,2016-07,Resolved,26.0
117,Elm Grove Living Centre,35 Elm Grove Ave,Ltch,Respiratory,Rhinovirus,Unknown,2016-07-21,2016-08-18,2016,2016-07,Resolved,28.0
118,Sunnybrook Health Sciences Centre - LGSW,2075 Bayview Ave,Ltch,Respiratory,Enterovirus/Rhinovirus,Unknown,2016-07-13,2016-07-30,2016,2016-07,Resolved,17.0
119,Yee Hong Centre - Finch Site - 3rd Fl,60 Scottfield Dr,Ltch,Respiratory,Parainfluenza type 3,Unknown,2016-07-11,2016-07-25,2016,2016-07,Resolved,14.0
120,Ehatare Nursing Home,40 Old Kingston Rd,Ltch,Enteric,Unable to identify,Unknown,2016-07-09,2016-07-18,2016,2016-07,Resolved,9.0
121,Ehatare Retirement Home,40 Old Kingston Rd,Retirement Home,Enteric,Unable to identify,Unknown,2016-07-09,2016-07-21,2016,2016-07,Resolved,12.0
122,West Park Healthcare Centre - 2WF,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,Parainfluenza type 3,Unknown,2016-06-30,2016-07-09,2016,2016-06,Resolved,9.0
123,The Heritage Nursing Home,1195 Queen St E,Ltch,Respiratory,Parainfluenza type 3,Unknown,2016-06-27,2016-07-26,2016,2016-06,Resolved,29.0
124,Mount Sinai Hospital - 10N,600 University Ave,Hospital-Acute Care,Respiratory,Parainfluenza type 3,Unknown,2016-06-23,2016-07-09,2016,2016-06,Resolved,16.0
125,Sunnybrook Health Sciences Centre - K1W,2075 Bayview Ave,Ltch,Respiratory,Enterovirus/Rhinovirus,Unknown,2016-06-13,2016-06-20,2016,2016-06,Resolved,7.0
126,Sunnybrook Health Sciences Centre - LTSW,2075 Bayview Ave,Ltch,Respiratory,Enterovirus/Rhinovirus,Unknown,2016-06-08,2016-06-21,2016,2016-06,Resolved,13.0
127,Midland Gardens,130 Midland Ave,Ltch,Respiratory,Coronavirus,Unknown,2016-06-03,2016-06-30,2016,2016-06,Resolved,27.0
128,Rouge Valley Health System - Centenary Site - 9 East,2867 Ellesmere Rd,Hospital-Acute Care,Enteric,Clostridium difficile,Unknown,2016-06-01,2016-07-15,2016,2016-06,Resolved,44.0
129,St. John's Rehabilitation Centre - A1,285 Cummer Ave,Hospital-Chronic Care,Respiratory,Influenza A (H3N2),Unknown,2016-06-01,2016-06-09,2016,2016-06,Resolved,8.0
130,Sunnybrook Health Sciences Centre - K3C & K3E,2075 Bayview Ave,Ltch,Respiratory,Enterovirus/Rhinovirus,Unknown,2016-05-31,2016-06-18,2016,2016-05,Resolved,18.0
131,St. Joseph's Health Centre - 4 East,30 The Queensway,Hospital-Acute Care,Enteric,Clostridium difficile,Unknown,2016-05-30,2016-06-13,2016,2016-05,Resolved,14.0
132,West Park Healthcare Centre - 2EC,82 Buttonwood Ave,Hospital-Chronic Care,Enteric,Norovirus-like,Unknown,2016-05-30,2016-06-04,2016,2016-05,Resolved,5.0
133,Atrium at Kew Beach,500 Kingston Rd,Retirement Home,Enteric,Norovirus-like,Unknown,2016-05-26,2016-06-09,2016,2016-05,Resolved,14.0
134,Villa Colombo,40 Playfair Ave,Ltch,Enteric,Norovirus-like,Unknown,2016-05-25,2016-06-08,2016,2016-05,Resolved,14.0
135,Salvation Army Toronto Grace Health Centre - Palliative Care,47 Austin Terr,Hospital-Chronic Care,Respiratory,Unable to identify,Unknown,2016-05-24,2016-06-01,2016,2016-05,Resolved,8.0
136,Seven Oaks - 2nd Fl,9 Neilson Rd,Ltch,Respiratory,Metapneumovirus,Unknown,2016-05-24,2016-05-31,2016,2016-05,Resolved,7.0
137,Rockcliffe Care Community,3015 Lawrence Ave E,Ltch,Respiratory,Metapneumovirus,Parainfluenza type 3,2016-05-20,2016-05-27,2016,2016-05,Resolved,7.0
138,Labdara Lithuanian Nursing Home,5 Resurrection Rd,Ltch,Respiratory,Influenza A (H3),Unknown,2016-05-19,2016-06-08,2016,2016-05,Resolved,20.0
139,Sunnybrook Health Sciences Centre - LDMH,2075 Bayview Ave,Ltch,Respiratory,Enterovirus/Rhinovirus,Unknown,2016-05-18,2016-05-26,2016,2016-05,Resolved,8.0
140,True Davidson Acres - 2E & 3rd Fl,200 Dawes Rd,Ltch,Respiratory,Rhinovirus,Unknown,2016-05-12,2016-05-25,2016,2016-05,Resolved,13.0
141,Wesburn Manor - 3 North & 3 South,400 The West Mall,Ltch,Respiratory,Metapneumovirus,Unknown,2016-05-09,2016-05-18,2016,2016-05,Resolved,9.0
142,The Wexford,1860 Lawrence Ave E,Ltch,Respiratory,Metapneumovirus,Unknown,2016-05-06,2016-05-19,2016,2016-05,Resolved,13.0
143,Kensington Place Retirement Residence,866 Sheppard Ave W,Retirement Home,Respiratory,Parainfluenza type 3,Unknown,2016-05-06,2016-05-15,2016,2016-05,Resolved,9.0
144,Toronto Finnish Canadian Seniors Centre - Suomi Koti,795 Eglinton Ave E,Ltch,Enteric,Norovirus-like,Unknown,2016-05-04,2016-05-20,2016,2016-05,Resolved,16.0
145,Castleview Wychwood Towers - 2W,351 Christie St,Ltch,Respiratory,Influenza A (H3),Unknown,2016-05-03,2016-05-08,2016,2016-05,Resolved,5.0
146,West Park Healthcare Centre - 2WF,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,Influenza B,Unknown,2016-05-02,2016-05-11,2016,2016-05,Resolved,9.0
147,Sunnybrook Health Sciences Centre - LFSW,2075 Bayview Ave,Ltch,Respiratory,Coronavirus,Unknown,2016-05-02,2016-05-20,2016,2016-05,Resolved,18.0
148,Chartwell Gibson Retirement Residence,1955 Steeles Ave E,Retirement Home,Respiratory,Influenza B,Unknown,2016-05-02,2016-05-16,2016,2016-05,Resolved,14.0
149,Sunnybrook Health Sciences Centre - K2C,2075 Bayview Ave,Ltch,Respiratory,Coronavirus,Unknown,2016-04-27,2016-05-15,2016,2016-04,Resolved,18.0
150,Sunnybrook Health Sciences Centre - D6,2075 Bayview Ave,Hospital-Acute Care,Enteric,Clostridium difficile,Unknown,2016-04-26,2016-05-04,2016,2016-04,Resolved,8.0
151,The O'Neill Centre,33 Christie St,Ltch,Respiratory,Respiratory syncytial virus,Unknown,2016-04-26,2016-05-06,2016,2016-04,Resolved,10.0
152,Cedarbook Lodge Retirement Residence - 2nd & 3rd Fl,520 Markham Rd,Retirement Home,Respiratory,Influenza B,Unknown,2016-04-23,2016-05-01,2016,2016-04,Resolved,8.0
153,Sunnybrook Health Sciences Centre - K1W,2075 Bayview Ave,Ltch,Respiratory,Coronavirus,Unknown,2016-04-19,2016-04-29,2016,2016-04,Resolved,10.0
154,Amica at the Balmoral Club,155 Balmoral Ave,Retirement Home,Enteric,Norovirus-like,Unknown,2016-04-18,2016-05-02,2016,2016-04,Resolved,14.0
155,Better Living at Thompson House,1 Overland Dr,Ltch,Respiratory,Influenza B,Unknown,2016-04-17,2016-05-02,2016,2016-04,Resolved,15.0
156,Sunnybrook Health Sciences Centre - C2,2075 Bayview Ave,Hospital-Acute Care,Respiratory,Influenza B,Unknown,2016-04-14,2016-04-25,2016,2016-04,Resolved,11.0
